iter	Passed	Remaining
354	57972	105330
355	58096	105096
356	58260	104934
357	58397	104724
358	58547	104537
359	58803	104540
360	58931	104314
361	59068	104104
362	59198	103882
363	59356	103710
364	59477	103474
365	59563	103178
366	59752	103060
367	59905	102881
368	60048	102684
369	60164	102441
370	60329	102283
371	60464	102074
372	60572	101820
373	60870	101885
374	61017	101696
375	61147	101478
376	61260	101234
377	61403	101039
378	61523	100806
379	61742	100738
380	61892	100554
381	62013	100325
382	62119	100071
383	62222	99814
384	62315	99543
385	62464	99361
386	62615	99181
387	62863	99155
388	63023	98989
389	63152	98776
390	63277	98557
391	63406	98344
392	63581	98203
393	63818	98157
394	64023	98061
395	64174	97883
396	64299	97664
397	64487	97541
398	64710	97471
399	64835	97253
400	65020	97124
401	65130	96885
402	65281	96707
403	65414	96502
404	65582	96350
405	65812	96287
406	65940	96075
407	66113	95928
408	66245	95723
409	66379	95521
410	66513	95319
411	66777	95303
412	66922	95117
413	67124	95012
414	67312	94886
415	67441	94677
416	67538	94423
417	67793	94391
418	67905	94160
419	68013	93923
420	68194	93787
421	68285	93528
422	68413	93320
423	68500	93057
424	68688	92931
425	68806	92711
426	68934	92505
427	69041	92269
428	69222	92135
429	69322	91893
430	69457	91696
431	69582	91488
432	69845	91460
433	69998	91287
434	70120	91075
435	70285	90920
436	70395	90693
437	70520	90485
438	70796	90470
439	70926	90269
440	71019	90022
441	71126	89793
442	71334	89691
443	71421	89438
444	71575	89268
445	71831	89226
446	72046	89131
447	72219	88985
448	72472	88935
449	72601	88735
450	72970	88826
451	73108	88636
452	73236	88433
453	73440	88322
454	73635	88200
455	73771	88007
456	73932	87844
457	74028	87605
458	74176	87428
459	74271	87188
460	74469	87069
461	74681	86966
462	74791	86744
463	74912	86536
464	75054	86353
465	75171	86140
466	75533	86208
467	75870	86245
468	75973	86016
469	76176	85901
470	76374	85779
471	76970	86102
472	77124	85929
473	77234	85706
474	77318	85457
475	77416	85223
476	77565	85045
477	77701	84854
478	77823	84647
479	77951	84447
480	78086	84256
481	78181	84021
482	78280	83791
483	78396	83579
484	78506	83362
485	78733	83269
486	78849	83059
487	78969	82852
488	79083	82641
489	79217	82451
490	79361	82270
491	79460	82044
492	79686	81949
493	79817	81756
494	79951	81566
495	80081	81373
496	80203	81171
497	80296	80941
498	80424	80746
499	80568	80568
500	80808	80486
501	80924	80279
502	81029	80062
503	81128	79840
504	81307	79697
505	81439	79508
506	81549	79297
507	81795	79218
508	81930	79032
509	82033	78816
510	82146	78609
511	82268	78412
512	82424	78246
513	82584	78085
514	82843	78018
515	82960	77815
516	83104	77639
517	83223	77439
518	83399	77292
519	83503	77080
520	83704	76956
521	83880	76810
522	84011	76622
523	84110	76405
524	84226	76204
525	84710	76336
526	84827	76135
527	84919	75913
528	85020	75699
529	85106	75471
530	85237	75285
531	85312	75049
532	85446	74865
533	85579	74682
534	85815	74587
535	85944	74399
536	86056	74197
537	86179	74005
538	86399	73896
539	86571	73746
540	86797	73641
541	86997	73514
542	87143	73342
543	87266	73150
544	87388	72957
545	87569	72814
546	87809	72719
547	87995	72579
548	88096	72370
549	88240	72196
550	88395	72032
551	88526	71847
552	88733	71724
553	88840	71521
554	89017	71374
555	89129	71175
556	89263	70994
557	89418	70829
558	89721	70782
559	89835	70585
560	90038	70457
561	90186	70288
562	90342	70123
563	90524	69979
564	90722	69847
565	90827	69644
566	90950	69456
567	91091	69280
568	91243	69114
569	91462	68998
570	91813	68980
571	91939	68793
572	92108	68639
573	92221	68442
574	92361	68266
575	92515	68101
576	92737	67986
577	92864	67800
578	92998	67620
579	93158	67459
580	93261	67257
581	93421	67096
582	93654	66988
583	93770	66795
584	93885	66602
585	93992	66404
586	94114	66216
587	94243	66034
588	94361	65844
589	94499	65669
590	94843	65636
591	95039	65500
592	95222	65354
593	95341	65165
594	95445	64967
595	95634	64826
596	95770	64649
597	95900	64467
598	95994	64263
599	96129	64086
600	96280	63919
601	96423	63748
602	96567	63577
603	96746	63429
604	96879	63252
605	96984	63055
606	97076	62851
607	97221	62682
608	97377	62519
609	97495	62333
610	97696	62199
611	97855	62039
612	97960	61844
613	98074	61655
614	98185	61465
615	98335	61299
616	98477	61129
617	98713	61016
618	98877	60860
619	99017	60688
620	99156	60515
621	99253	60318
622	99379	60138
623	99506	59959
624	99721	59832
625	99837	59647
626	99996	59487
627	100110	59301
628	100225	59115
629	100364	58944
630	100522	58783
631	100695	58633
632	100831	58460
633	100979	58294
634	101130	58130
635	101239	57942
636	101376	57770
637	101483	57581
638	101725	57469
639	101851	57291
640	101959	57103
641	102107	56938
642	102228	56758
643	102361	56584
644	102473	56400
645	102764	56313
646	102873	56127
647	103003	55952
648	103146	55785
649	103294	55620
650	103447	55457
651	103646	55320
652	103836	55177
653	103956	54998
654	104114	54838
655	104323	54706
656	104470	54540
657	104695	54416
658	104896	54278
659	105041	54112
660	105143	53923
661	105255	53740
662	105441	53595
663	105675	53474
664	105784	53289
665	105891	53104
666	106048	52944
667	106174	52769
668	106318	52602
669	106471	52441
670	106667	52300
671	106802	52130
672	106918	51949
673	107077	51791
674	107211	51620
675	107315	51435
676	107436	51258
677	107697	51148
678	107796	50961
679	107908	50780
680	108021	50600
681	108199	50450
682	108351	50289
683	108482	50117
684	108728	49999
685	108846	49821
686	108965	49645
687	109081	49467
688	109271	49323
689	109439	49168
690	109674	49043
691	109833	48885
692	109940	48703
693	110043	48520
694	110192	48357
695	110341	48195
696	110467	48022
697	110689	47891
698	110837	47728
699	110957	47553
700	111100	47388
701	111249	47225
702	111428	47075
703	111643	46941
704	111741	46756
705	111914	46604
706	112052	46437
707	112205	46276
708	112383	46126
709	112484	45944
710	112677	45799
711	112791	45623
712	112929	45457
713	113076	45293
714	113206	45124
715	113355	44962
716	113534	44812
717	113761	44680
718	113856	44497
719	113987	44328
720	114075	44142
721	114205	43973
722	114338	43805
723	114446	43628
724	114649	43487
725	114732	43301
726	114859	43131
727	115012	42971
728	115130	42798
729	115238	42622
730	115358	42450
731	115470	42275
732	115701	42144
733	115776	41957
734	115895	41785
735	115996	41607
736	116151	41448
737	116280	41281
738	116420	41117
739	116635	40980
740	116787	40820
741	116896	40646
742	117014	40474
743	117092	40289
744	117213	40120
745	117365	39961
746	117492	39793
747	117700	39653
748	117852	39493
749	117990	39330
750	118117	39162
751	118294	39012
752	118393	38835
753	118495	38660
754	118697	38517
755	118857	38361
756	118985	38194
757	119113	38028
758	119269	37870
759	119401	37705
760	119603	37562
761	119708	37389
762	119852	37228
763	120019	37074
764	120148	36908
765	120295	36748
766	120481	36600
767	120667	36451
768	120786	36283
769	120939	36124
770	121053	35954
771	121172	35786
772	121294	35619
773	121684	35530
774	121847	35375
775	121975	35209
776	122086	35038
777	122222	34875
778	122361	34713
779	122603	34580
780	122701	34406
781	122813	34237
782	122915	34064
783	123128	33923
784	123247	33755
785	123331	33578
786	123494	33423
787	123818	33311
788	123966	33152
789	124114	32992
790	124309	32845
791	124442	32681
792	124610	32527
793	124798	32378
794	124936	32216
795	125037	32044
796	125141	31874
797	125263	31708
798	125407	31548
799	125638	31409
800	125809	31256
801	125936	31091
802	126076	30930
803	126192	30763
804	126326	30600
805	126454	30436
806	126663	30292
807	126818	30135
808	126942	29970
809	127068	29806
810	127179	29638
811	127326	29479
812	127487	29323
813	127714	29182
814	127997	29054
815	128135	28893
816	128349	28748
817	128611	28615
818	128752	28454
819	128873	28289
820	129000	28125
821	129153	27967
822	129341	27817
823	129457	27651
824	129708	27513
825	129831	27349
826	130028	27200
827	130308	27068
828	130409	26899
829	130631	26755
830	130820	26604
831	130975	26446
832	131128	26288
833	131564	26186
834	131897	26063
835	132078	25910
836	132240	25752
837	132457	25606
838	132596	25444
839	132761	25287
840	132938	25133
841	133078	24971
842	133219	24810
843	133384	24653
844	133548	24497
845	133671	24332
846	133779	24165
847	133866	23995
848	134063	23844
849	134151	23673
850	134318	23517
851	134436	23352
852	134684	23210
853	134827	23050
854	134953	22886
855	135119	22730
856	135242	22566
857	135330	22397
858	135434	22230
859	135683	22088
860	135821	21927
861	135961	21766
862	136073	21601
863	136253	21447
864	136366	21282
865	136461	21115
866	136714	20972
867	136813	20805
868	136918	20640
869	137053	20479
870	137158	20313
871	137418	20171
872	137647	20024
873	137793	19864
874	137920	19702
875	138035	19539
876	138145	19375
877	138280	19214
878	138439	19057
879	138629	18904
880	138755	18742
881	138908	18584
882	139113	18432
883	139292	18278
884	139402	18114
885	139610	17963
886	139746	17803
887	139867	17640
888	139994	17479
889	140142	17321
890	140283	17161
891	140400	16999
892	140619	16849
893	140727	16685
894	140869	16526
895	141005	16366
896	141193	16212
897	141322	16052
898	141437	15890
899	141685	15742
900	141830	15584
901	141969	15424
902	142112	15265
903	142283	15109
904	142421	14950
905	142642	14799
906	142815	14643
907	142938	14482
908	143050	14320
909	143181	14160
910	143332	14002
911	143405	13837
912	143590	13682
913	143712	13522
914	143888	13366
915	143977	13203
916	144078	13040
917	144233	12883
918	144399	12727
919	144614	12575
920	144737	12415
921	144853	12254
922	145025	12098
923	145172	11940
924	145314	11782
925	145443	11622
926	145676	11471
927	145771	11309
928	145895	11150
929	146057	10993
930	146206	10835
931	146347	10677
932	146463	10517
933	146691	10365
934	146799	10205
935	146940	10047
936	147041	9886
937	147247	9732
938	147364	9573
939	147552	9418
940	147696	9260
941	147826	9101
942	147929	8941
943	148077	8784
944	148245	8628
945	148380	8469
946	148574	8315
947	148747	8159
948	148894	8001
949	149005	7842
950	149127	7683
951	149274	7526
952	149436	7369
953	149629	7214
954	149763	7056
955	149878	6898
956	149977	6738
957	150119	6581
958	150253	6423
959	150419	6267
960	150659	6114
961	150770	5955
962	150871	5796
963	151028	5640
964	151142	5481
965	151253	5323
966	151373	5165
967	151586	5011
968	151720	4853
969	151849	4696
970	151960	4538
971	152058	4380
972	152237	4224
973	152376	4067
974	152593	3912
975	152764	3756
976	152917	3599
977	153045	3442
978	153229	3286
979	153352	3129
980	153449	2972
981	153632	2816
982	153815	2660
983	153988	2503
984	154129	2347
985	154287	2190
986	154409	2033
987	154625	1878
988	154736	1721
989	154868	1564
990	155012	1407
991	155116	1250
992	155264	1094
993	155443	938
994	155632	782
995	155751	625
996	155883	469
997	156075	312
998	156184	156
999	156302	0
